файл	класс	правил_CSS	в_разметке	в_JS	статус
report	kick	1	1	0	ok
report	lb	2	1	0	ok
report	lb2	1	0	0	НЕиспользуется
report	lbg	1	0	1	ok
report	ld	2	0	1	ok
report	lft	2	0	0	НЕиспользуется
report	lg	8	0	0	НЕиспользуется
report	lgd	2	1	0	ok
report	lggrp	3	0	1	ok
report	lgi	16	0	1	много_правил(16)
report	lgline	7	0	0	НЕиспользуется
report	lgq	3	0	0	НЕиспользуется
report	lgs	6	1	0	ok
report	lgs2	2	0	0	НЕиспользуется
report	lgsum	3	0	0	НЕиспользуется
report	lgw	0	0	1	БЕЗ_стиля
report	lgwb	4	0	1	ok
report	logi	3	1	0	ok
report	logii	3	1	0	ok
report	logit	5	1	0	ok
report	loy	2	1	0	ok
report	loyc	14	0	1	много_правил(14)
report	lp	1	0	1	ok
report	ls2	1	0	1	ok
report	lt	2	0	1	ok
report	ltx	7	0	1	много_правил(7)
report	lv	4	0	0	НЕиспользуется
report	lvv	5	0	1	ok
report	lx	1	1	0	ok
report	mbf	2	1	0	ok
report	mbl	7	1	0	много_правил(7)
report	meta	1	1	0	ok
report	mflow	4	0	0	НЕиспользуется
report	mgrp	1	0	0	НЕиспользуется
report	mhead	4	0	0	НЕиспользуется
report	mid	14	0	1	много_правил(14)
report	minb	15	1	0	много_правил(15)
report	mk	5	0	1	ok
report	mrow	12	0	0	НЕиспользуется
report	n	2	1	0	ok
report	n2	1	1	0	ok
report	n3	1	1	0	ok
report	nm	8	0	0	НЕиспользуется
report	nm2	1	0	0	НЕиспользуется
report	nm3	6	0	1	ok
report	nmg	1	0	0	НЕиспользуется
report	nml	1	0	0	НЕиспользуется
report	nmlist	2	0	0	НЕиспользуется
report	nmr	14	0	0	НЕиспользуется
report	nmt	2	0	0	НЕиспользуется
report	nmv	3	0	0	НЕиспользуется
report	nmw	5	0	0	НЕиспользуется
report	nmwrap	2	0	0	НЕиспользуется
report	no	1	0	0	НЕиспользуется
report	note	46	1	1	много_правил(46)
report	note2	1	0	0	НЕиспользуется
report	npd	20	1	0	много_правил(20)
report	npdlim	3	0	1	ok
report	num	4	1	1	ok
report	num2	3	0	0	НЕиспользуется
report	off	1	0	0	НЕиспользуется
report	ok	18	0	1	много_правил(18)
report	okb	2	0	0	НЕиспользуется
report	on	5	1	1	ok
report	op	1	0	0	НЕиспользуется
report	out	2	0	1	ok
report	over	2	0	1	ok
report	own	1	0	0	НЕиспользуется
report	p1	0	1	0	БЕЗ_стиля
report	p2	0	1	0	БЕЗ_стиля
report	p3	0	1	0	БЕЗ_стиля
report	pc	3	0	0	НЕиспользуется
report	pgb	1	1	0	ok
report	pgd	1	1	0	ok
report	pgh	4	1	0	ok
report	pi2	10	0	1	много_правил(10)
report	plain	4	0	0	НЕиспользуется
report	pmknote	13	1	0	много_правил(13)
report	pmo	4	0	0	НЕиспользуется
report	pnf	1	1	1	ok
report	pnh	1	1	1	ok
report	prc	1	0	0	НЕиспользуется
report	ratebot	7	0	1	много_правил(7)
report	rb1	0	0	1	БЕЗ_стиля
report	recbm	1	0	0	НЕиспользуется
report	recc	14	0	0	НЕиспользуется
report	recd	1	0	0	НЕиспользуется
report	recg	2	0	0	НЕиспользуется
report	rech	2	0	0	НЕиспользуется
report	recin	2	0	0	НЕиспользуется
report	recl	3	0	0	НЕиспользуется
report	recres	7	0	0	НЕиспользуется
